start_date,city,#trips
2020-06-24,NYC,66784
2020-06-24,San Francisco,4821
2020-06-25,Chicago,16001
2020-06-25,NYC,69578
2020-06-25,San Francisco,4657
2020-06-26,Chicago,6228
2020-06-26,NYC,73638
2020-06-26,San Francisco,5087
2020-06-27,Chicago,20499
2020-06-27,NYC,59221
2020-06-27,San Francisco,5667
2020-06-28,Chicago,20383
2020-06-28,NYC,69104
2020-06-28,San Francisco,5619
2020-06-29,Chicago,9395
2020-06-29,NYC,61574
2020-06-29,San Francisco,4611
2020-06-30,Chicago,14589
2020-06-30,NYC,65102
2020-06-30,San Francisco,4920
2020-07-01,Chicago,15827
2020-07-01,NYC,63406
2020-07-01,San Francisco,4698
2020-07-02,Chicago,16560
2020-07-02,NYC,73394
2020-07-02,San Francisco,5030
2020-07-03,Chicago,20296
2020-07-03,NYC,59329
2020-07-03,San Francisco,5174
2020-07-04,Chicago,19931
2020-07-04,NYC,70988
2020-07-04,San Francisco,5847
2020-07-05,Chicago,18538
2020-07-05,NYC,64523
2020-07-05,San Francisco,5099
2020-07-06,Chicago,14826
2020-07-06,NYC,45976
2020-07-06,San Francisco,4436
2020-07-07,Chicago,14450
2020-07-07,NYC,67810
2020-07-07,San Francisco,4750
2020-07-08,Chicago,15885
2020-07-08,NYC,63321
2020-07-08,San Francisco,4636
2020-07-09,Chicago,14801
2020-07-09,NYC,76374
2020-07-09,San Francisco,4993
2020-07-10,Chicago,16912
2020-07-10,NYC,22777
2020-07-10,San Francisco,5172
2020-07-11,Chicago,23072
2020-07-11,NYC,66573
2020-07-11,San Francisco,7090
2020-07-12,Chicago,22680
2020-07-12,NYC,84290
2020-07-12,San Francisco,6040
2020-07-13,Chicago,16633
2020-07-13,NYC,69017
2020-07-13,San Francisco,4009
2020-07-14,Chicago,17311
2020-07-14,NYC,76968
2020-07-14,San Francisco,4586
2020-07-15,Chicago,9357
2020-07-15,NYC,78340
2020-07-15,San Francisco,4715
2020-07-16,Chicago,17263
2020-07-16,NYC,79248
2020-07-16,San Francisco,4553
2020-07-17,Chicago,19923
2020-07-17,NYC,69834
2020-07-17,San Francisco,5325
2020-07-18,Chicago,22991
2020-07-18,NYC,80408
2020-07-18,San Francisco,6414
2020-07-19,Chicago,14582
2020-07-19,NYC,66789
2020-07-19,San Francisco,5348
2020-07-20,Chicago,16023
2020-07-20,NYC,58285
2020-07-20,San Francisco,4076
2020-07-21,Chicago,12546
2020-07-21,NYC,70557
2020-07-21,San Francisco,4326
2020-07-22,Chicago,17332
2020-07-22,NYC,51988
2020-07-22,San Francisco,4649
2020-07-23,Chicago,18586
2020-07-23,NYC,65592
2020-07-23,San Francisco,4630
2020-07-24,Chicago,20673
2020-07-24,NYC,66790
2020-07-24,San Francisco,4847
2020-07-25,Chicago,26410
2020-07-25,NYC,87636
2020-07-25,San Francisco,6601
2020-07-26,Chicago,19811
2020-07-26,NYC,72734
2020-07-26,San Francisco,5564
2020-07-27,Chicago,15074
2020-07-27,NYC,62474
2020-07-27,San Francisco,4180
2020-07-28,Chicago,18182
2020-07-28,NYC,70368
2020-07-28,San Francisco,4340
2020-07-29,Chicago,15483
2020-07-29,NYC,77064
2020-07-29,San Francisco,4526
2020-07-30,Chicago,17846
2020-07-30,NYC,72109
2020-07-30,San Francisco,4474
2020-07-31,Chicago,21676
2020-07-31,NYC,70846
2020-07-31,San Francisco,5120
2020-08-01,Chicago,23256
2020-08-01,NYC,89044
2020-08-01,San Francisco,6417
2020-08-02,Chicago,15367
2020-08-02,NYC,70067
2020-08-02,San Francisco,5421
2020-08-03,Chicago,13039
2020-08-03,NYC,67219
2020-08-03,San Francisco,4296
2020-08-04,Chicago,17746
2020-08-04,NYC,44588
2020-08-04,San Francisco,4251
2020-08-05,Chicago,17856
2020-08-05,NYC,81812
2020-08-05,San Francisco,4281
2020-08-06,Chicago,19837
2020-08-06,NYC,79130
2020-08-06,San Francisco,4765
2020-08-07,Chicago,22584
2020-08-07,NYC,59956
2020-08-07,San Francisco,5300
2020-08-08,Chicago,28709
2020-08-08,NYC,90237
2020-08-08,San Francisco,6150
2020-08-09,Chicago,23200
2020-08-09,NYC,82767
2020-08-09,San Francisco,5169
2020-08-10,Chicago,9747
2020-08-10,NYC,68992
2020-08-10,San Francisco,4054
2020-08-11,Chicago,17835
2020-08-11,NYC,75292
2020-08-11,San Francisco,4357
2020-08-12,Chicago,18418
2020-08-12,NYC,66069
2020-08-12,San Francisco,4707
2020-08-13,Chicago,18646
2020-08-13,NYC,62427
2020-08-13,San Francisco,5115
2020-08-14,Chicago,20396
2020-08-14,NYC,83758
2020-08-14,San Francisco,6081
2020-08-15,Chicago,23469
2020-08-15,NYC,92784
2020-08-15,San Francisco,6994
2020-08-16,Chicago,24522
2020-08-16,NYC,38651
2020-08-16,San Francisco,4860
2020-08-17,Chicago,17144
2020-08-17,NYC,70358
2020-08-17,San Francisco,4278
2020-08-18,Chicago,19278
2020-08-18,NYC,81799
2020-08-18,San Francisco,5026
2020-08-19,Chicago,19624
2020-08-19,NYC,71467
2020-08-19,San Francisco,4395
